comment_id,content_id,text,timestamp
COMM_5B53DEB2,CONTENT_C0EC45BC,I've been through this,2026-08-16 20:41:46
COMM_39AB7C2D,CONTENT_C0EC45BC,Great tips,2026-08-16 06:41:46
COMM_0DC400B7,CONTENT_C0EC45BC,This happens to me all the time,2026-08-16 05:41:46
COMM_BBB4167A,CONTENT_AEA96D56,Good content,2026-06-26 23:41:46
COMM_AD6A9E7F,CONTENT_AEA96D56,Good content,2026-06-26 04:41:46
COMM_10763E0E,CONTENT_AEA96D56,I don't really agree but okay,2026-06-26 12:41:46
COMM_41EE9920,CONTENT_F7AC6829,Hello from Brazil,2026-05-30 21:41:46
COMM_DC2E2768,CONTENT_F7AC6829,Great tips,2026-05-31 20:41:46
COMM_55E62677,CONTENT_F7AC6829,Good content,2026-05-30 21:41:46
COMM_65932BD7,CONTENT_F7AC6829,Interesting perspective,2026-05-31 13:41:46
COMM_515B7B13,CONTENT_F7AC6829,Hello from Brazil,2026-05-31 18:41:46
COMM_FFBB77CF,CONTENT_06B68628,I don't really agree but okay,2026-04-20 19:41:46
COMM_F62FE152,CONTENT_06B68628,Nice video,2026-04-20 00:41:46
COMM_F89F1EB4,CONTENT_06B68628,I don't really agree but okay,2026-04-20 09:41:46
COMM_CBA08554,CONTENT_6D82194F,Good content,2026-04-20 16:41:46
COMM_E1E765F2,CONTENT_F373FD8E,same here,2026-06-21 00:41:46
COMM_926063ED,CONTENT_F373FD8E,This happens to me all the time,2026-06-21 18:41:46
COMM_BC4601E0,CONTENT_F373FD8E,I struggle with this daily,2026-06-21 13:41:46
COMM_21F8BA0E,CONTENT_F373FD8E,I've been through this,2026-06-22 00:41:46
COMM_958AD560,CONTENT_F373FD8E,I've been through this,2026-06-21 09:41:46
COMM_EA2D0831,CONTENT_2E31E031,Interesting perspective,2026-04-25 16:41:46
COMM_311F1943,CONTENT_2E31E031,Great tips,2026-04-24 14:41:46
COMM_089AA551,CONTENT_F5184EFC,This happens to me all the time,2026-08-12 09:41:46
COMM_655A6656,CONTENT_08EFB886,Nice video,2026-03-13 03:41:46
COMM_3DA5904D,CONTENT_08EFB886,Nice video,2026-03-12 03:41:46
COMM_2AE11E4B,CONTENT_B05D3085,Great tips,2026-07-27 22:41:46
COMM_EC2F7F92,CONTENT_B05D3085,Good content,2026-07-28 09:41:46
COMM_CF8654B3,CONTENT_B05D3085,exactly my situation,2026-07-28 02:41:46
COMM_FC4BC0CD,CONTENT_0775B126,I've been through this,2026-03-21 16:41:46
COMM_3B335222,CONTENT_0775B126,I can relate,2026-03-22 06:41:46
COMM_7B22F6F2,CONTENT_1A61B093,Thanks for sharing,2026-06-18 21:41:46
COMM_286A5E28,CONTENT_59BCF5B0,Good content,2026-05-18 14:41:46
COMM_806074F5,CONTENT_A82C237E,I feel exactly the same way,2026-04-10 02:41:46
COMM_6811AE59,CONTENT_A82C237E,I don't really agree but okay,2026-04-10 07:41:46
COMM_C176C8D7,CONTENT_A82C237E,Great tips,2026-04-10 13:41:46
COMM_6C27AE08,CONTENT_A82C237E,I don't really agree but okay,2026-04-10 03:41:46
COMM_F13822DC,CONTENT_A82C237E,This happens to me all the time,2026-04-10 06:41:46
COMM_57472BB2,CONTENT_61605A88,Hello from Brazil,2026-04-04 18:41:46
COMM_B32CFFC8,CONTENT_61605A88,Great tips,2026-04-04 03:41:46
COMM_FDC38E2A,CONTENT_61605A88,I can relate,2026-04-04 18:41:46
COMM_5BFCFC6E,CONTENT_61605A88,Great tips,2026-04-04 11:41:46
COMM_F7D5ACFF,CONTENT_990C3930,I can relate,2026-06-18 22:41:46
COMM_C1871566,CONTENT_990C3930,this is literally me,2026-06-17 22:41:46
COMM_BD99F8A1,CONTENT_990C3930,I've been through this,2026-06-17 12:41:46
COMM_078A796F,CONTENT_990C3930,This happens to me all the time,2026-06-17 12:41:46
COMM_BC8F2DB2,CONTENT_93BFEF5C,This happens to me all the time,2026-07-13 13:41:46
COMM_81D8BCD0,CONTENT_6A72F044,I struggle with this daily,2026-05-04 23:41:46
COMM_2C430984,CONTENT_6A72F044,this is literally me,2026-05-05 09:41:46
COMM_E33B8077,CONTENT_6A72F044,I feel exactly the same way,2026-05-05 01:41:46
COMM_D62784A0,CONTENT_6A72F044,Nice video,2026-05-04 07:41:46
COMM_B76EB54D,CONTENT_6A72F044,this is literally me,2026-05-04 15:41:46
COMM_E43FE15C,CONTENT_21FA3C8C,exactly my situation,2026-06-15 00:41:46
COMM_BE74E7CF,CONTENT_21FA3C8C,Hello from Brazil,2026-06-15 22:41:46
COMM_274722BD,CONTENT_4BDF4107,Great tips,2026-06-13 04:41:46
COMM_245F1178,CONTENT_4BDF4107,Interesting perspective,2026-06-12 20:41:46
COMM_3056ED02,CONTENT_4BDF4107,Good content,2026-06-12 20:41:46
COMM_DA3C88AD,CONTENT_4BDF4107,Hello from Brazil,2026-06-13 01:41:46
COMM_1ACB97A3,CONTENT_5C0D46B3,I don't really agree but okay,2026-06-15 20:41:46
COMM_97862322,CONTENT_5C0D46B3,I've been through this,2026-06-15 17:41:46
COMM_5C3379C9,CONTENT_5C0D46B3,same here,2026-06-15 11:41:46
COMM_F73BC735,CONTENT_5FF2CE4B,I thought I was the only one,2026-03-23 16:41:46
COMM_724787E2,CONTENT_5FF2CE4B,Hello from Brazil,2026-03-22 07:41:46
COMM_91BE98A3,CONTENT_DA314C5C,Great tips,2026-05-07 16:41:46
COMM_81D3023A,CONTENT_DA314C5C,I can relate,2026-05-08 04:41:46
COMM_F0677F9F,CONTENT_DA314C5C,Hello from Brazil,2026-05-07 04:41:46
COMM_CA931DEA,CONTENT_DA314C5C,Nice video,2026-05-08 13:41:46
COMM_BDE0BCFD,CONTENT_DA314C5C,exactly my situation,2026-05-07 07:41:46
COMM_1288CC48,CONTENT_50F99EB0,Thanks for sharing,2026-06-14 12:41:46
COMM_4DB52676,CONTENT_50F99EB0,Nice video,2026-06-14 15:41:46
COMM_4F74ECF1,CONTENT_50F99EB0,Hello from Brazil,2026-06-15 05:41:46
COMM_AC4E13DD,CONTENT_50F99EB0,Thanks for sharing,2026-06-14 16:41:46
COMM_8A079679,CONTENT_B64FA273,Good content,2026-03-19 06:41:46
COMM_73CBD385,CONTENT_D30308C5,Great tips,2026-07-11 02:41:46
COMM_A36FAFCA,CONTENT_D30308C5,Good content,2026-07-11 03:41:46
COMM_6AD4441D,CONTENT_ED5A90A0,I thought I was the only one,2026-08-23 12:41:46
COMM_991E8653,CONTENT_ED5A90A0,this is literally me,2026-08-24 15:41:46
COMM_EDC1C910,CONTENT_2FB54929,Great tips,2026-08-31 11:41:46
COMM_3202D278,CONTENT_2FB54929,Nice video,2026-08-30 17:41:46
COMM_6C5EF6AD,CONTENT_2FB54929,Great tips,2026-08-30 14:41:46
COMM_1E599AB5,CONTENT_2FB54929,I don't really agree but okay,2026-08-30 01:41:46
COMM_970652CB,CONTENT_2FB54929,Thanks for sharing,2026-08-31 12:41:46
COMM_C13C380E,CONTENT_26AA1E3C,Great tips,2026-08-31 17:41:46
COMM_4978B483,CONTENT_B44908DD,Interesting perspective,2026-03-22 16:41:46
COMM_FEDC400C,CONTENT_B44908DD,Interesting perspective,2026-03-23 17:41:46
COMM_E262D40C,CONTENT_61586AB6,Great tips,2026-07-30 09:41:46
COMM_5B989203,CONTENT_61586AB6,I don't really agree but okay,2026-07-30 13:41:46
COMM_C44C0A2A,CONTENT_61586AB6,Interesting perspective,2026-07-30 20:41:46
COMM_2D2F17F7,CONTENT_266664B0,I feel exactly the same way,2026-06-04 15:41:46
COMM_86A0B19E,CONTENT_266664B0,same here,2026-06-04 11:41:46
COMM_8DF43D61,CONTENT_266664B0,Great tips,2026-06-04 19:41:46
COMM_0205E941,CONTENT_266664B0,I don't really agree but okay,2026-06-03 16:41:46
COMM_3AF39096,CONTENT_6AD048E5,I can relate,2026-06-29 01:41:46
COMM_9095BB58,CONTENT_6AD048E5,Good content,2026-06-29 08:41:46
COMM_CE33CDAA,CONTENT_6AD048E5,Hello from Brazil,2026-06-29 12:41:46
COMM_682F4F68,CONTENT_6AD048E5,I feel exactly the same way,2026-06-28 04:41:46
COMM_1ACFB882,CONTENT_D03C8617,Good content,2026-07-22 22:41:46
COMM_1EC8A70E,CONTENT_D03C8617,Good content,2026-07-21 01:41:46
COMM_F9E57752,CONTENT_1BC4FE96,Thanks for sharing,2026-06-24 09:41:46
COMM_4E82D547,CONTENT_1BC4FE96,Great tips,2026-06-25 01:41:46
COMM_C346445D,CONTENT_1BC4FE96,Nice video,2026-06-24 09:41:46
COMM_FE1155B1,CONTENT_1B3442ED,This happens to me all the time,2026-06-29 20:41:46
COMM_ACE3A182,CONTENT_3E961758,Great tips,2026-03-22 21:41:46
COMM_2516FD40,CONTENT_1A223783,Great tips,2026-04-27 17:41:46
COMM_A17FFEF2,CONTENT_B17894F3,Hello from Brazil,2026-07-08 07:41:46
COMM_30FC4DFC,CONTENT_B17894F3,I don't really agree but okay,2026-07-07 20:41:46
COMM_2CC2FB6F,CONTENT_B17894F3,I don't really agree but okay,2026-07-08 17:41:46
COMM_7C40124B,CONTENT_B17894F3,Interesting perspective,2026-07-08 07:41:46
COMM_ECEA47C0,CONTENT_B17894F3,I struggle with this daily,2026-07-08 18:41:46
COMM_78CF368C,CONTENT_F59DEBA3,I don't really agree but okay,2026-03-18 05:41:46
COMM_6C73013C,CONTENT_F59DEBA3,I can relate,2026-03-18 19:41:46
COMM_02D65E2B,CONTENT_F59DEBA3,Thanks for sharing,2026-03-19 10:41:46
COMM_BFABF441,CONTENT_F59DEBA3,I thought I was the only one,2026-03-19 22:41:46
COMM_6024D9A0,CONTENT_F59DEBA3,I don't really agree but okay,2026-03-18 23:41:46
COMM_E08F3B67,CONTENT_FB4018BF,Interesting perspective,2026-05-04 15:41:46
COMM_00D75047,CONTENT_3CA231C4,Interesting perspective,2026-04-06 21:41:46
COMM_E44104F0,CONTENT_3CA231C4,I can relate,2026-04-06 00:41:46
COMM_349BE255,CONTENT_3CA231C4,same here,2026-04-06 00:41:46
COMM_688DAF71,CONTENT_3CA231C4,same here,2026-04-05 01:41:46
COMM_2B4BF011,CONTENT_5B89361C,I don't really agree but okay,2026-07-26 18:41:46
COMM_2D6F1072,CONTENT_5B89361C,Hello from Brazil,2026-07-26 02:41:46
COMM_9B9A630B,CONTENT_5B89361C,Interesting perspective,2026-07-27 05:41:46
COMM_D2309B24,CONTENT_DB176958,Thanks for sharing,2026-07-08 08:41:46
