date,keyword,hashtag,topic,search_volume,mentions,growth_rate
2026-08-07,social anxiety,#socialanxiety,Social Anxiety,2765,276,0.0
2026-08-08,social anxiety,#socialanxiety,Social Anxiety,4814,481,0.02
2026-08-09,social anxiety,#socialanxiety,Social Anxiety,1878,187,0.04
2026-08-10,social anxiety,#socialanxiety,Social Anxiety,3470,347,0.06
2026-08-11,social anxiety,#socialanxiety,Social Anxiety,4857,485,0.08
2026-08-12,social anxiety,#socialanxiety,Social Anxiety,3381,338,0.1
2026-08-13,social anxiety,#socialanxiety,Social Anxiety,4931,493,0.12
2026-08-14,social anxiety,#socialanxiety,Social Anxiety,2439,243,0.14
2026-08-15,social anxiety,#socialanxiety,Social Anxiety,1262,126,0.16
2026-08-16,social anxiety,#socialanxiety,Social Anxiety,4325,432,0.18
2026-08-17,social anxiety,#socialanxiety,Social Anxiety,5764,576,0.2
2026-08-18,social anxiety,#socialanxiety,Social Anxiety,3364,336,0.22
2026-08-19,social anxiety,#socialanxiety,Social Anxiety,1390,139,0.24
2026-08-20,social anxiety,#socialanxiety,Social Anxiety,3675,367,0.26
2026-08-21,social anxiety,#socialanxiety,Social Anxiety,2387,238,0.28
2026-08-22,social anxiety,#socialanxiety,Social Anxiety,1341,134,0.3
2026-08-23,social anxiety,#socialanxiety,Social Anxiety,2114,211,0.32
2026-08-24,social anxiety,#socialanxiety,Social Anxiety,2271,227,0.34
2026-08-25,social anxiety,#socialanxiety,Social Anxiety,5351,535,0.36
2026-08-26,social anxiety,#socialanxiety,Social Anxiety,6680,668,0.38
2026-08-27,social anxiety,#socialanxiety,Social Anxiety,6256,625,0.4
2026-08-28,social anxiety,#socialanxiety,Social Anxiety,2164,216,0.42
2026-08-29,social anxiety,#socialanxiety,Social Anxiety,2947,294,0.44
2026-08-30,social anxiety,#socialanxiety,Social Anxiety,3428,342,0.46
2026-08-31,social anxiety,#socialanxiety,Social Anxiety,4559,455,0.48
2026-09-01,social anxiety,#socialanxiety,Social Anxiety,1869,186,0.5
2026-09-02,social anxiety,#socialanxiety,Social Anxiety,7487,748,0.52
2026-09-03,social anxiety,#socialanxiety,Social Anxiety,6298,629,0.54
2026-09-04,social anxiety,#socialanxiety,Social Anxiety,6397,639,0.56
2026-09-05,social anxiety,#socialanxiety,Social Anxiety,4891,489,0.58
2026-08-07,overwhelmed in public,#overwhelmedinpublic,Social Anxiety,2732,273,-0.078
2026-08-08,overwhelmed in public,#overwhelmedinpublic,Social Anxiety,2539,253,0.061
2026-08-09,overwhelmed in public,#overwhelmedinpublic,Social Anxiety,1614,161,-0.071
2026-08-10,overwhelmed in public,#overwhelmedinpublic,Social Anxiety,3586,358,-0.014
2026-08-11,overwhelmed in public,#overwhelmedinpublic,Social Anxiety,4441,444,0.038
2026-08-12,overwhelmed in public,#overwhelmedinpublic,Social Anxiety,4758,475,0.022
2026-08-13,overwhelmed in public,#overwhelmedinpublic,Social Anxiety,3480,348,0.037
2026-08-14,overwhelmed in public,#overwhelmedinpublic,Social Anxiety,3834,383,-0.092
2026-08-15,overwhelmed in public,#overwhelmedinpublic,Social Anxiety,3282,328,0.074
2026-08-16,overwhelmed in public,#overwhelmedinpublic,Social Anxiety,3293,329,0.064
2026-08-17,overwhelmed in public,#overwhelmedinpublic,Social Anxiety,3693,369,-0.085
2026-08-18,overwhelmed in public,#overwhelmedinpublic,Social Anxiety,4119,411,0.056
2026-08-19,overwhelmed in public,#overwhelmedinpublic,Social Anxiety,5267,526,0.077
2026-08-20,overwhelmed in public,#overwhelmedinpublic,Social Anxiety,1764,176,-0.005
2026-08-21,overwhelmed in public,#overwhelmedinpublic,Social Anxiety,3684,368,0.014
2026-08-22,overwhelmed in public,#overwhelmedinpublic,Social Anxiety,1341,134,0.07
2026-08-23,overwhelmed in public,#overwhelmedinpublic,Social Anxiety,3971,397,-0.058
2026-08-24,overwhelmed in public,#overwhelmedinpublic,Social Anxiety,3911,391,0.033
2026-08-25,overwhelmed in public,#overwhelmedinpublic,Social Anxiety,1483,148,-0.042
2026-08-26,overwhelmed in public,#overwhelmedinpublic,Social Anxiety,1781,178,-0.014
2026-08-27,overwhelmed in public,#overwhelmedinpublic,Social Anxiety,2528,252,-0.091
2026-08-28,overwhelmed in public,#overwhelmedinpublic,Social Anxiety,2350,235,-0.096
2026-08-29,overwhelmed in public,#overwhelmedinpublic,Social Anxiety,3878,387,-0.077
2026-08-30,overwhelmed in public,#overwhelmedinpublic,Social Anxiety,1789,178,-0.048
2026-08-31,overwhelmed in public,#overwhelmedinpublic,Social Anxiety,1208,120,0.037
2026-09-01,overwhelmed in public,#overwhelmedinpublic,Social Anxiety,1021,102,-0.081
2026-09-02,overwhelmed in public,#overwhelmedinpublic,Social Anxiety,3298,329,-0.094
2026-09-03,overwhelmed in public,#overwhelmedinpublic,Social Anxiety,2988,298,-0.018
2026-09-04,overwhelmed in public,#overwhelmedinpublic,Social Anxiety,1712,171,0.026
2026-09-05,overwhelmed in public,#overwhelmedinpublic,Social Anxiety,4215,421,-0.087
2026-08-07,social battery,#socialbattery,Social Anxiety,4284,428,-0.066
2026-08-08,social battery,#socialbattery,Social Anxiety,1928,192,-0.018
2026-08-09,social battery,#socialbattery,Social Anxiety,3295,329,-0.025
2026-08-10,social battery,#socialbattery,Social Anxiety,3919,391,0.029
2026-08-11,social battery,#socialbattery,Social Anxiety,3059,305,0.032
2026-08-12,social battery,#socialbattery,Social Anxiety,1858,185,0.02
2026-08-13,social battery,#socialbattery,Social Anxiety,3108,310,0.016
2026-08-14,social battery,#socialbattery,Social Anxiety,3278,327,-0.033
2026-08-15,social battery,#socialbattery,Social Anxiety,2906,290,0.008
2026-08-16,social battery,#socialbattery,Social Anxiety,4299,429,-0.015
2026-08-17,social battery,#socialbattery,Social Anxiety,1098,109,0.02
2026-08-18,social battery,#socialbattery,Social Anxiety,2194,219,-0.085
2026-08-19,social battery,#socialbattery,Social Anxiety,4128,412,0.022
